name,radius_kpc,v_obs_kms,v_obs_err_kms,v_gas_kms,v_disk_unit_ml_kms,v_bulge_unit_ml_kms,a_g_coherent_kms,a_d_coherent_kms,a_b_coherent_kms,a_sum_coherent_kms,v_bar_visible_kms,v_energy_flow_one_channel_upper_bound_kms,v_energy_flow_two_channel_upper_bound_kms,v_energy_flow_correlator_upper_bound_kms,v_energy_flow_correlator_accounted_kms,v_stress_required_kms,n_winding_req,c_req,delta_v2_coherence_upper_bound_kms2,delta_v2_kms2
NGC 3198,14.050000,157.000000,2.000000,34.480000,118.120000,0.000000,34.480000,83.523453,0.000000,118.003453,90.360598,118.003453,166.882084,118.003453,157.000000,128.389884,1.770149,2.861910,5759.777318,16483.962400
NGC 3198,16.070000,153.000000,2.000000,36.430000,108.220000,0.000000,36.430000,76.523096,0.000000,112.953096,84.752163,112.953096,159.739800,112.953096,153.000000,127.381596,1.834791,2.910259,5575.472764,16226.070900
NGC 3198,18.130000,153.000000,2.000000,37.760000,101.100000,0.000000,37.760000,71.488496,0.000000,109.248496,80.848145,109.248496,154.500704,109.248496,153.000000,129.894486,1.961336,3.125239,5398.811186,16872.577400
NGC 3198,20.050000,154.000000,2.000000,39.830000,96.400000,0.000000,39.830000,68.165094,0.000000,107.995094,78.948774,107.995094,152.728126,107.995094,154.000000,132.223640,2.033449,3.219704,5430.031365,17483.091100
NGC 3198,22.120000,153.000000,2.000000,40.920000,91.560000,0.000000,40.920000,64.742697,0.000000,105.662697,76.590229,105.662697,149.429619,105.662697,153.000000,132.449752,2.096715,3.310899,5298.542313,17542.936800
NGC 3198,24.030000,150.000000,2.000000,41.770000,87.030000,0.000000,41.770000,61.539503,0.000000,103.309503,74.376363,103.309503,146.101701,103.309503,150.000000,130.261877,2.108152,3.300549,5141.010095,16968.156650
NGC 3198,26.100000,149.000000,2.000000,43.710000,82.670000,0.000000,43.710000,58.456518,0.000000,102.166518,72.991291,102.166518,144.485275,102.166518,149.000000,129.897157,2.126941,3.301836,5110.268769,16873.271450
NGC 3198,28.160000,148.000000,2.000000,45.410000,79.060000,0.000000,45.410000,55.903862,0.000000,101.313862,72.022982,101.313862,143.279438,101.313862,148.000000,129.293040,2.133957,3.292509,5077.188758,16716.690100
NGC 3198,30.080000,146.000000,2.000000,45.290000,76.070000,0.000000,45.290000,53.789613,0.000000,99.079613,70.317185,99.079613,140.119732,99.079613,146.000000,127.951137,2.171386,3.360141,4872.263131,16371.493450
NGC 3198,32.140000,147.000000,2.000000,44.560000,73.270000,0.000000,44.560000,51.809714,0.000000,96.369714,68.336228,96.369714,136.287356,96.369714,147.000000,130.150528,2.326770,3.668643,4617.281699,16939.159950
NGC 3198,34.060000,148.000000,2.000000,44.810000,70.910000,0.000000,44.810000,50.140942,0.000000,94.950942,67.246191,94.950942,134.280910,94.950942,148.000000,131.840623,2.429545,3.868130,4493.631209,17381.949850
NGC 3198,36.120000,148.000000,2.000000,45.900000,68.620000,0.000000,45.900000,48.521667,0.000000,94.421667,66.791932,94.421667,133.532403,94.421667,148.000000,132.071336,2.456858,3.915964,4454.289060,17442.837800
NGC 3198,38.190000,149.000000,2.000000,46.750000,66.590000,0.000000,46.750000,47.086241,0.000000,93.836241,66.352668,93.836241,132.704484,93.836241,149.000000,133.410357,2.521340,4.042718,4402.563492,17798.323450
NGC 3198,40.100000,150.000000,2.000000,47.480000,64.840000,0.000000,47.480000,45.848804,0.000000,93.328804,66.003509,93.328804,131.986860,93.328804,150.000000,134.697947,2.583159,4.167285,4353.802399,18143.536800
NGC 3198,42.170000,150.000000,3.000000,48.930000,63.100000,0.000000,48.930000,44.618438,0.000000,93.548438,66.218954,93.548438,132.297470,93.548438,150.000000,134.592162,2.571044,4.148776,4366.360332,18115.050100
NGC 3198,44.080000,149.000000,3.000000,47.840000,61.630000,0.000000,47.840000,43.578991,0.000000,91.418991,64.713168,91.418991,129.285977,91.418991,149.000000,134.213285,2.656438,4.320089,4169.637852,18013.205950
